city	city_ascii	province_id	province_name	lat	lng	population	density	timezone	ranking	postal	id	station_names	station_ids
Wynyard	Wynyard	SK	Saskatchewan	51.7667	-104.1833	1767.0	334.1	America/Regina	3	S0A	1124699826	['WYNYARD', 'WYNYARD (AUT)']	['4019035', '40190LN']
Cambridge Bay	Cambridge Bay	NU	Nunavut	69.1528	-105.1707	1766.0	8.7	America/Cambridge_Bay	4	X0B	1124596377	['CAMBRIDGE BAY A', 'CAMBRIDGE BAY GSN', 'CAMBRIDGE BAY A', 'CAMBRIDGE BAY A']	['2400600', '2400602', '2400601', '2400603']
Dalmeny	Dalmeny	SK	Saskatchewan	52.3411	-106.7733	1766.0	537.8	America/Regina	3	S0K	1124962648	[]	[]
Saint-Narcisse	Saint-Narcisse	QC	Quebec	46.5667	-72.4667	1762.0	16.8	America/Toronto	3	G0X	1124808791	['ST NARCISSE']	['7017585']
Waswanipi	Waswanipi	QC	Quebec	49.7883	-75.9544	1759.0	4.2	America/Toronto	4	J0Y	1124000056	['RENAULT']	['7096462']
Inukjuak	Inukjuak	QC	Quebec	58.4824	-78.1309	1757.0	31.6	America/Toronto	4	J0M	1124369757	['INUKJUAK UA', 'INUKJUAK A', 'INUKJUAK', 'INUKJUAK A']	['7103282', '7103283', '710S005', '7103280']
Balgonie	Balgonie	SK	Saskatchewan	50.488	-104.269	1756.0	369.2	America/Regina	3	S0G	1124001148	[]	[]
Piney	Piney	MB	Manitoba	49.2069	-95.8333	1755.0	0.0	America/Winnipeg	3	R0A	1124958787	[]	[]
Warfield	Warfield	BC	British Columbia	49.0953	-117.7344	1753.0	929.3	America/Vancouver	3	V1R	1124000473	['ROSSLAND CITY YARD', 'ROSSLAND MACLEAN', 'TRAIL SUNNINGDALE', 'WARFIELD', 'WARFIELD RCS']	['1146870', '1146874', '1148212', '1148700', '1148705']
Saint-Zacharie	Saint-Zacharie	QC	Quebec	46.1333	-70.3667	1751.0	9.4	America/Toronto	4	G0M	1124927704	['ST ZACHARIE']	['7027785']
Hemmingford	Hemmingford	QC	Quebec	45.0833	-73.5833	1747.0	11.1	America/Toronto	3	J0L	1124000648	['HEMMINGFORD']	['7023073']
Saint-Pierre-de-l'Île-d'Orléans	Saint-Pierre-de-l'Ile-d'Orleans	QC	Quebec	46.8833	-71.0667	1743.0	55.1	America/Toronto	3	G0A	1124000266	"['LA COURVILLOISE', ""ST LAURENT ILE D'ORLEANS""]"	['701LF83', '7047442']
Kensington	Kensington	PE	Prince Edward Island	46.4333	-63.65	1743.0	537.9	America/Halifax	3	C0B	1124918690	['LONG RIVER', 'SUMMERSIDE SNOW 2']	['8300502', '8300605']
Shelburne	Shelburne	NS	Nova Scotia	43.7633	-65.3236	1743.0	197.2	America/Halifax	3	B0T	1124659892	['ROSEWAY', 'SHELBURNE']	['8204600', '8205126']
Saint-Clet	Saint-Clet	QC	Quebec	45.35	-74.22	1738.0	44.3	America/Toronto	3	J0P	1124001293	['COTEAU DU LAC', 'ST CLET NORD', 'ST LAZARE', 'SAINT-POLYCARPE']	['7011947', '7017032', '7017445', '7016474']
Blumenort	Blumenort	MB	Manitoba	49.6033	-96.7006	1738.0	548.2	America/Winnipeg	3	R0A	1124001566	[]	[]
Brighton	Brighton	NB	New Brunswick	46.3316	-67.3585	1735.0	3.4	America/Moncton	4	E7L E7P	1124001133	[]	[]
Saint-Antoine	Saint-Antoine	NB	New Brunswick	46.3629	-64.753	1733.0	274.3	America/Moncton	3	E4V	1124873921	[]	[]
Northampton	Northampton	NB	New Brunswick	46.1313	-67.4713	1724.0	7.1	America/Moncton	4	E7N	1124001603	['WOODSTOCK', 'WOODSTOCK NEWBRIDGE']	['8105600', '8105603']
Flat Rock	Flat Rock	NL	Newfoundland and Labrador	47.7086	-52.7144	1722.0	95.1	America/St_Johns	3	A1K	1124195076	[]	[]
Saint-Ours	Saint-Ours	QC	Quebec	45.8833	-73.15	1721.0	29.0	America/Toronto	3	J0G	1124177651	[]	[]
Stephenville Crossing	Stephenville Crossing	NL	Newfoundland and Labrador	48.5167	-58.4167	1719.0	55.1	America/St_Johns	3	A0N	1124113007	['BLACK DUCK', 'STEPHENVILLE CROSSING']	['8400570', '8403815']
Sainte-Anne-de-la-Pocatière	Sainte-Anne-de-la-Pocatiere	QC	Quebec	47.35	-70.0	1717.0	31.1	America/Toronto	3	G0R	1124000130	['ST PACOME', 'LA POCATIERE CDA', 'LA POCATIERE']	['705GE9G', '7054095', '7054096']
Popkum	Popkum	BC	British Columbia	49.1911	-121.7553	1710.0	268.2	America/Vancouver	3	V0X	1124000726	['AGASSIZ RCS', 'AGASSIZ CDA', 'CHILLIWACK MARBLEHILL CK', 'ROSEDALE']	['1100119', '1100120', '1101561', '1106865']
Notre-Dame-du-Bon-Conseil	Notre-Dame-du-Bon-Conseil	QC	Quebec	46.0	-72.35	1708.0	406.5	America/Toronto	3	J0C	1124217511	['BON CONSEIL EXP ST']	['7020820']
Fisher	Fisher	MB	Manitoba	51.0825	-97.6611	1708.0	1.2	America/Winnipeg	4	R0C	1124001091	[]	[]
Sainte-Clotilde	Sainte-Clotilde	QC	Quebec	45.15	-73.6833	1704.0	21.6	America/Toronto	3	J0L	1124121082	['STE CLOTHILDE CDA', 'STE-CLOTILDE']	['7027040', '7027039']
Lantz	Lantz	NS	Nova Scotia	44.9894	-63.4736	1703.0	573.6	America/Halifax	3	B2S	1124980158	['ELMSDALE', 'MILFORD', 'MILFORD STATION']	['8201750', '8203564', '8203567']
Wicklow	Wicklow	NB	New Brunswick	46.5017	-67.7067	1697.0	8.7	America/Moncton	4	E7K E7L	1124000344	['BEECHWOOD']	['8100512']
Nouvelle	Nouvelle	QC	Quebec	48.1333	-66.3167	1689.0	7.3	America/Toronto	3	G0C	1124064051	['NOUVELLE']	['7055705']
Wasagamack	Wasagamack	MB	Manitoba	53.9056	-94.9412	1689.0	17.3	America/Winnipeg	4	R0B	1124000650	[]	[]
Rosthern	Rosthern	SK	Saskatchewan	52.65	-106.3333	1688.0	392.0	America/Regina	3	S0K	1124886826	['ROSTHERN']	['4056920']
Yamaska	Yamaska	QC	Quebec	46.0236	-72.9391	1687.0	23.2	America/Toronto	4	J0G	1124001651	[]	[]
Neguac	Neguac	NB	New Brunswick	47.2333	-65.05	1684.0	62.9	America/Moncton	3	E9G	1124936735	['BURNT CHURCH', 'BURNT CHURCH']	['8100600', '8100601']
Saint-Antoine-de-Tilly	Saint-Antoine-de-Tilly	QC	Quebec	46.6667	-71.5833	1682.0	28.1	America/Toronto	4	G0S	1124590960	[]	[]
Igloolik	Igloolik	NU	Nunavut	69.3817	-81.6811	1682.0	16.3	America/Iqaluit	4	X0A	1124253277	['IGLOOLIK', 'IGLOOLIK A', 'IGLOOLIK A', 'IGLOOLIK A']	['2402540', '2402543', '2402546', '2402541']
Whitehead	Whitehead	MB	Manitoba	49.7981	-100.2575	1679.0	2.9	America/Winnipeg	4	R7A R0K	1124001853	['ALEXANDER']	['5010033']
Saint-Élie-de-Caxton	Saint-Elie-de-Caxton	QC	Quebec	46.4833	-72.9667	1676.0	14.2	America/Toronto	3	G0X	1124000951	[]	[]
Balmoral	Balmoral	NB	New Brunswick	47.9667	-66.45	1674.0	38.6	America/Moncton	3	E8E	1124774000	['CHARLO FALLS']	['8100900']
Price	Price	QC	Quebec	48.6017	-68.1227	1673.0	646.0	America/Toronto	3	G0J	1124592512	['MONT-JOLI A', 'PARC METIS', 'PRICE', 'MONT JOLI A', 'MONT-JOLI']	['7055120', '7055793', '7056240', '7055121', '7055122']
Rosedale	Rosedale	MB	Manitoba	50.4397	-99.5389	1672.0	1.9	America/Winnipeg	4	R0J	1124000230	['BIG VALLEY', 'BIRNIE', 'TOBARMORE']	['5040214', '5040230', '5042927']
Saint-Jacques-le-Mineur	Saint-Jacques-le-Mineur	QC	Quebec	45.2833	-73.4167	1672.0	24.9	America/Toronto	3	J0J	1124000320	"[""L'ACADIE""]"	['702LED4']
Coombs	Coombs	BC	British Columbia	49.3008	-124.4049	1672.0	107.4	America/Vancouver	4	V0R	1124001663	['COOMBS', 'FRENCH CREEK', 'HILLIERS', 'PARKSVILLE NORTHWEST', 'QUALICUM BEACH', 'QUALICUM BEACH YAMBURY', 'QUALICUM BEACH AIRPORT']	['1021850', '1023037', '1023471', '1025975', '1026563', '1026564', '1026562']
Val-Joli	Val-Joli	QC	Quebec	45.6	-71.97	1671.0	18.2	America/Toronto	4	J1S	1124000422	[]	[]
Southesk	Southesk	NB	New Brunswick	46.9901	-66.4336	1666.0	0.7	America/Moncton	4	E9E	1124001519	[]	[]
Huron Shores	Huron Shores	ON	Ontario	46.2833	-83.2	1664.0	3.8	America/Toronto	3	P0R	1124000756	['IRON BRIDGE', 'IRON BRIDGE']	['6053804', '6053805']
Saint-Antoine-sur-Richelieu	Saint-Antoine-sur-Richelieu	QC	Quebec	45.7833	-73.1833	1659.0	25.2	America/Toronto	4	J0L	1124151577	[]	[]
Saint-Pacôme	Saint-Pacome	QC	Quebec	47.4	-69.95	1658.0	57.5	America/Toronto	4	G0L	1124275513	['ST PACOME', 'LA POCATIERE CDA', 'LA POCATIERE']	['705GE9G', '7054095', '7054096']
Saint-Stanislas-de-Kostka	Saint-Stanislas-de-Kostka	QC	Quebec	45.18	-74.13	1654.0	28.7	America/Toronto	3	J0S	1124267249	[]	[]
Saint-Jacques	Saint-Jacques	NB	New Brunswick	47.5634	-68.3693	1652.0	5.5	America/Moncton	4	E7B	1124840998	[]	[]
Frontenac	Frontenac	QC	Quebec	45.58	-70.83	1650.0	7.4	America/Toronto	4	G6B	1124001833	['LAC MEGANTIC', 'LAC MEGANTIC 2', 'LAKE MEGANTIC', 'MEGANTIC A', 'LAC MEGANTIC']	['7023675', '7023677', '7023800', '7024800', '7023680']
Stuartburn	Stuartburn	MB	Manitoba	49.1331	-96.5158	1648.0	1.4	America/Winnipeg	3	R0A	1124000992	['VITA', 'VITA']	['5023000', '5023001']
